persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
,4,0.3,1000,0.0,0.005,network_repeat_0_comb_0.pt,2024-12-09 11:44:20,0,0,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_0_comb_1.pt,2024-12-09 11:44:21,1,0,completed
,4,0.3,1000,0.0,0.005,network_repeat_1_comb_0.pt,2024-12-09 11:44:21,0,1,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_1_comb_1.pt,2024-12-09 11:44:21,1,1,completed
,4,0.3,1000,0.0,0.005,network_repeat_2_comb_0.pt,2024-12-09 11:44:22,0,2,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_2_comb_1.pt,2024-12-09 11:44:22,1,2,completed
,4,0.3,1000,0.0,0.005,network_repeat_3_comb_0.pt,2024-12-09 11:44:23,0,3,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_3_comb_1.pt,2024-12-09 11:44:23,1,3,completed
,4,0.3,1000,0.0,0.005,network_repeat_4_comb_0.pt,2024-12-09 11:44:24,0,4,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_4_comb_1.pt,2024-12-09 11:44:24,1,4,completed
,4,0.3,1000,0.0,0.005,network_repeat_5_comb_0.pt,2024-12-09 11:44:25,0,5,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_5_comb_1.pt,2024-12-09 11:44:25,1,5,completed
,4,0.3,1000,0.0,0.005,network_repeat_6_comb_0.pt,2024-12-09 11:44:26,0,6,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_6_comb_1.pt,2024-12-09 11:44:26,1,6,completed
,4,0.3,1000,0.0,0.005,network_repeat_7_comb_0.pt,2024-12-09 11:44:27,0,7,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_7_comb_1.pt,2024-12-09 11:44:27,1,7,completed
,4,0.3,1000,0.0,0.005,network_repeat_8_comb_0.pt,2024-12-09 11:44:28,0,8,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_8_comb_1.pt,2024-12-09 11:44:28,1,8,completed
,4,0.3,1000,0.0,0.005,network_repeat_9_comb_0.pt,2024-12-09 11:44:29,0,9,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_9_comb_1.pt,2024-12-09 11:44:29,1,9,completed
,4,0.3,1000,0.0,0.005,network_repeat_10_comb_0.pt,2024-12-09 11:44:30,0,10,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_10_comb_1.pt,2024-12-09 11:44:30,1,10,completed
,4,0.3,1000,0.0,0.005,network_repeat_11_comb_0.pt,2024-12-09 11:44:31,0,11,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_11_comb_1.pt,2024-12-09 11:44:32,1,11,completed
,4,0.3,1000,0.0,0.005,network_repeat_12_comb_0.pt,2024-12-09 11:44:32,0,12,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_12_comb_1.pt,2024-12-09 11:44:33,1,12,completed
,4,0.3,1000,0.0,0.005,network_repeat_13_comb_0.pt,2024-12-09 11:44:33,0,13,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_13_comb_1.pt,2024-12-09 11:44:34,1,13,completed
,4,0.3,1000,0.0,0.005,network_repeat_14_comb_0.pt,2024-12-09 11:44:35,0,14,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_14_comb_1.pt,2024-12-09 11:44:35,1,14,completed
,4,0.3,1000,0.0,0.005,network_repeat_15_comb_0.pt,2024-12-09 11:44:36,0,15,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_15_comb_1.pt,2024-12-09 11:44:37,1,15,completed
,4,0.3,1000,0.0,0.005,network_repeat_16_comb_0.pt,2024-12-09 11:44:37,0,16,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_16_comb_1.pt,2024-12-09 11:44:37,1,16,completed
,4,0.3,1000,0.0,0.005,network_repeat_17_comb_0.pt,2024-12-09 11:44:38,0,17,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_17_comb_1.pt,2024-12-09 11:44:38,1,17,completed
,4,0.3,1000,0.0,0.005,network_repeat_18_comb_0.pt,2024-12-09 11:44:39,0,18,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_18_comb_1.pt,2024-12-09 11:44:39,1,18,completed
,4,0.3,1000,0.0,0.005,network_repeat_19_comb_0.pt,2024-12-09 11:44:39,0,19,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_19_comb_1.pt,2024-12-09 11:44:40,1,19,completed
,4,0.3,1000,0.0,0.005,network_repeat_20_comb_0.pt,2024-12-09 11:44:40,0,20,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_20_comb_1.pt,2024-12-09 11:44:41,1,20,completed
,4,0.3,1000,0.0,0.005,network_repeat_21_comb_0.pt,2024-12-09 11:44:41,0,21,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_21_comb_1.pt,2024-12-09 11:44:42,1,21,completed
,4,0.3,1000,0.0,0.005,network_repeat_22_comb_0.pt,2024-12-09 11:44:43,0,22,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_22_comb_1.pt,2024-12-09 11:44:43,1,22,completed
